sample,experiment_id,region,genotype,timepoint,sex,litter,mouse,RIN,run
13,450-2_Cortex,Cortex,WT/KO,P4,F,L450,450-2,10,GC_BulkSTXBP1_Mouse_450-2_Cortex_RNA
28,449-4_Midbrain,Midbrain,WT/KO,P4,M,L449,449-4,9.6,GC_BulkSTXBP1_Mouse_449-4_Midbrain_RNA
58,454-6_Cerebellum,Cerebellum,WT/WT,P17,M,L454,454-6,9.2,GC_BulkSTXBP1_Mouse_454-6_Cerebellum_RNA
113,463-5_Hippocampus,Hippocampus,WT/WT,7wks,F,L463,463-5,9.2,GC_BulkSTXBP1_Mouse_463-5_Hippocampus_RNA
92,490-2_Thalamus,Thalamus,WT/WT,7wks,F,L490,490-2,8.1,GC_BulkSTXBP1_Mouse_490-2_Thalamus_RNA
37,337-4_Striatum,Striatum,WT/WT,P17,M,L337,337-4,9.4,GC_BulkSTXBP1_Mouse_337-4_Striatum_RNA
85,490-4_Striatum,Striatum,WT/WT,7wks,M,L490,490-4,8.2,GC_BulkSTXBP1_Mouse_490-4_Striatum_RNA
114,463-5_Midbrain,Midbrain,WT/WT,7wks,F,L463,463-5,8.8,GC_BulkSTXBP1_Mouse_463-5_Midbrain_RNA
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,